SampleNumber,Time(ms),T(deg C),T(deg F),P(Pa),Alt(m),Alt(ft),%RH
0,111,22.40,72.320,98765,214.866,704.939,45
1,659,22.41,72.338,98769,214.969,705.277,45
2,1208,22.40,72.320,98767,215.106,705.728,45
3,1756,22.40,72.320,98773,214.628,704.159,45
4,2304,22.40,72.320,98767,215.106,705.728,45
5,2852,22.40,72.302,98769,215.003,705.390,45
6,3401,22.40,72.320,98773,214.628,704.159,45
7,3950,22.39,72.302,98772,214.934,705.165,45
8,4500,22.40,72.320,98776,214.387,703.370,45
9,5048,22.40,72.320,98770,214.866,704.939,45
10,5597,22.39,72.302,98771,214.765,704.610,45
11,6145,22.39,72.320,98770,214.866,704.939,45
12,6693,22.39,72.302,98772,214.694,704.376,45
13,7242,22.38,72.284,98770,214.903,705.061,45
14,7792,22.39,72.302,98769,215.003,705.390,45
15,8359,22.39,72.302,98777,214.284,704.610,45
16,8908,22.38,72.284,98759,215.862,708.208,45
17,9458,22.38,72.284,98773,214.662,703.483,45
18,10007,22.38,72.284,98771,215.072,705.616,45
19,10542,22.38,72.284,98773,214.662,703.483,45
20,11062,22.38,72.284,98776,214.422,705.061,45
21,11583,22.37,72.266,98763,215.518,704.714,45
22,12103,22.37,72.266,98768,215.037,705.503,45
23,12624,22.36,72.248,98778,214.213,702.798,45
24,13145,22.36,72.248,98775,214.453,705.954,45
25,13666,22.36,72.248,98770,214.866,704.150,45
26,14189,22.37,72.266,98777,214.316,703.136,45
27,14709,22.36,72.248,98769,214.934,705.165,45
28,15230,22.36,72.266,98774,214.556,703.925,45
29,15751,22.36,72.248,98773,214.625,704.150,45
30,16272,22.35,72.248,98778,214.213,702.798,45
31,16792,22.36,72.248,98778,214.213,702.798,45
32,17313,22.36,72.230,98766,215.241,706.170,45
33,17833,22.36,72.230,98765,215.312,706.404,45
34,18354,22.35,72.230,98772,214.760,704.593,45
35,18875,22.35,72.230,98771,214.831,704.827,46
36,19395,22.34,72.212,98770,214.900,704.263,45
37,19919,22.34,72.212,98770,214.900,705.841,45
SampleNumber,Time(ms),T(deg C),T(deg F),P(Pa),Alt(m),Alt(ft),%RH
0,83,22.32,72.158,98776,214.348,703.240,45
1,604,22.32,72.176,98769,215.000,705.381,45
2,1124,22.33,72.176,98772,214.760,704.593,45
3,1645,22.31,72.176,98769,215.000,705.381,46
4,2165,22.31,72.158,98771,214.829,704.818,45
5,2685,22.31,72.158,98771,214.829,704.818,46
6,3207,22.31,72.158,98771,214.829,704.818,46
7,3727,22.32,72.176,98769,215.000,705.381,46
8,4247,22.32,72.176,98777,214.282,704.593,46
9,4771,22.32,72.176,98772,214.694,705.954,46
10,5292,22.33,72.194,98773,214.863,704.931,46
11,5812,22.32,72.176,98772,214.760,704.593,46
12,6333,22.32,72.176,98772,215.000,705.381,46
13,6853,22.31,72.158,98770,214.897,705.043,46
14,7374,22.32,72.176,98766,215.241,706.170,46
15,7895,22.32,72.176,98772,214.760,704.593,46
