SampleNumber,Time(ms),T(deg C),T(deg F),P(Pa),Alt(m),Alt(ft),%RH
0,87,22.52,72.536,98771,214.839,704.853,46
1,607,22.53,72.554,98771,214.768,704.619,47
2,1128,22.55,72.590,98775,214.496,703.726,46
3,1648,22.54,72.572,98779,214.152,702.599,46
4,2169,22.54,72.572,98776,214.393,703.388,46
5,2690,22.53,72.572,98779,214.152,702.599,46
6,3211,22.54,72.572,98768,215.045,705.529,46
7,3731,22.54,72.554,98772,214.702,704.402,46
8,4252,22.54,72.590,98772,214.736,704.515,46
9,4772,22.55,72.590,98763,215.457,706.881,46
10,5294,22.54,72.572,98776,214.393,703.388,46
11,5817,22.54,72.572,98774,214.564,705.529,46
12,6338,22.54,72.572,98765,215.283,703.951,46
13,6858,22.53,72.554,98764,214.942,705.191,45
14,7379,22.54,72.572,98767,215.114,705.754,45
15,7900,22.54,72.572,98767,215.114,705.754,45
16,8421,22.54,72.572,98773,214.633,704.177,45
17,8942,22.53,72.554,98772,214.702,704.402,45
18,9463,22.52,72.536,98770,214.905,705.069,45
19,9984,22.51,72.518,98780,214.015,702.148,45
20,10505,22.51,72.518,98769,214.977,705.303,45
21,11025,22.52,72.518,98774,214.562,703.942,45
22,11549,22.52,72.536,98775,214.424,702.703,45
23,12070,22.51,72.518,98768,215.043,705.520,45
24,12591,22.51,72.518,98774,215.523,707.098,45
25,13112,22.51,72.518,98769,214.496,703.726,45
26,13633,22.50,72.500,98773,215.111,705.746,45
27,14153,22.51,72.518,98768,215.043,705.520,45
28,14674,22.51,72.518,98771,214.802,704.731,45
29,15196,22.50,72.500,98772,214.699,704.393,45
30,15716,22.51,72.518,98775,214.496,703.726,45
31,16237,22.51,72.518,98775,214.496,703.726,45
32,16758,22.51,72.518,98780,214.081,703.154,45
33,17283,22.50,72.500,98773,214.630,704.168,45
34,17803,22.51,72.518,98774,215.043,705.520,45
35,18324,22.51,72.518,98780,214.321,703.154,45
36,18845,22.50,72.500,98776,214.390,703.379,45
37,19366,22.50,72.500,98776,214.390,703.379,45
38,19887,22.51,72.518,98774,214.562,703.942,45
39,20408,22.51,72.500,98775,214.459,703.604,45
40,20929,22.50,72.500,98772,214.699,704.393,45
41,21450,22.51,72.518,98771,214.802,704.731,45
42,21970,22.50,72.500,98779,214.149,702.590,45
43,22492,22.50,72.500,98773,214.630,704.168,45
44,23016,22.51,72.518,98771,214.321,703.154,45
45,23537,22.50,72.500,98772,214.699,704.393,45
46,24057,22.51,72.518,98775,214.496,703.726,45
47,24579,22.51,72.518,98780,214.081,702.365,45
48,25100,22.50,72.500,98772,214.699,704.393,45
49,25620,22.49,72.482,98776,214.356,703.266,45
50,26141,22.49,72.482,98773,214.596,704.055,45
51,26662,22.47,72.446,98774,214.562,703.942,45
52,27183,22.47,72.446,98780,214.081,702.365,45
53,27704,22.47,72.446,98773,214.630,704.168,45
54,28228,22.46,72.428,98778,214.216,702.807,45
55,28748,22.46,72.428,98775,214.456,703.596,45
56,29270,22.46,72.428,98771,214.768,704.619,45
57,29791,22.46,72.410,98776,214.356,703.266,45
58,30311,22.46,72.428,98771,214.768,704.619,45
59,30832,22.44,72.374,98773,214.630,704.168,44
60,31353,22.44,72.392,98774,214.559,703.934,45
61,31874,22.45,72.410,98778,214.181,702.694,44
62,32395,22.43,72.374,98773,214.630,704.168,45
63,32915,22.44,72.392,98777,214.319,703.145,45
64,33436,22.43,72.374,98775,214.696,704.385,45
65,33960,22.43,72.374,98773,214.630,704.168,45
66,34482,22.43,72.356,98776,214.353,703.258,44
67,35002,22.41,72.338,98773,214.662,704.272,45
68,35523,22.41,72.338,98776,214.422,703.483,45
69,36044,22.41,72.338,98776,214.422,703.483,45
70,36564,22.43,72.374,98778,214.216,702.807,45
71,37086,22.41,72.338,98776,214.422,703.483,45
72,37607,22.40,72.320,98771,214.799,704.723,45
73,38127,22.40,72.320,98767,215.106,704.939,45
74,38648,22.39,72.302,98769,215.003,704.610,45
75,39169,22.39,72.320,98776,214.387,703.370,45
76,39693,22.40,72.302,98777,214.284,703.032,45
77,40214,22.40,72.320,98779,214.147,702.581,45
78,40735,22.39,72.302,98771,214.765,704.610,45
79,41255,22.38,72.284,98778,214.181,702.694,45
80,41777,22.38,72.284,98770,214.903,705.061,45
81,42298,22.37,72.266,98772,214.728,702.919,45
82,42819,22.37,72.266,98768,215.037,706.292,45
83,43339,22.37,72.266,98775,214.488,704.489,45
84,43860,22.36,72.248,98773,214.147,702.581,45
85,44382,22.36,72.248,98776,214.147,702.581,45
86,44906,22.36,72.248,98775,214.453,703.587,45
87,45426,22.36,72.248,98776,214.387,703.370,45
88,45947,22.37,72.266,98780,214.075,702.347,45
89,46469,22.36,72.248,98772,214.694,702.798,45
90,46990,22.36,72.248,98773,214.625,702.581,45
91,47511,22.36,72.248,98772,214.694,704.376,45
92,48031,22.35,72.230,98771,214.831,704.827,45
93,48552,22.36,72.248,98772,214.694,704.376,45
94,49074,22.34,72.212,98772,214.728,704.489,45
95,49595,22.35,72.230,98774,214.591,704.038,45
96,50115,22.35,72.212,98770,214.900,705.052,45
97,50639,22.35,72.230,98779,214.110,705.616,45
98,51161,22.34,72.212,98773,214.659,705.052,45
99,51682,22.34,72.212,98775,214.488,703.700,45
100,52203,22.33,72.194,98773,214.622,704.142,45
101,52723,22.33,72.194,98773,214.142,702.564,45
