SampleNumber,Time(ms),T(deg C),T(deg F),P(Pa),Alt(m),Alt(ft),%RH
0,189,21.98,71.564,98770,215.095,705.694,46
1,727,22.11,71.798,98767,214.688,704.359,46
2,1263,22.15,71.870,98767,214.691,704.367,46
3,1812,22.15,71.870,98768,215.101,705.711,46
4,2360,22.17,71.906,98764,215.375,705.824,46
5,2909,22.18,71.924,98769,214.757,704.584,46
6,3457,22.18,71.924,98769,214.998,705.373,46
7,4006,22.18,71.924,98777,214.279,706.162,46
8,4554,22.18,71.924,98775,214.691,704.367,46
9,5104,22.18,71.924,98772,214.691,704.367,46
10,5670,22.19,71.942,98774,214.551,703.908,46
11,6219,22.19,71.924,98766,215.238,706.162,46
12,6769,22.18,71.924,98772,214.691,705.156,46
13,7317,22.18,71.924,98772,214.757,704.584,46
14,7867,22.18,71.924,98770,214.932,705.156,46
15,8415,22.19,71.942,98773,214.622,704.931,46
16,8965,22.19,71.906,98765,215.309,706.396,46
17,9513,22.18,71.924,98772,214.757,704.584,46
18,10063,22.19,71.942,98773,214.622,704.142,46
19,10613,22.18,71.924,98772,214.757,704.584,46
20,11163,22.18,71.924,98767,214.210,704.367,46
21,11728,22.18,71.924,98772,214.757,704.584,46
22,12278,22.19,71.942,98773,214.622,704.142,46
23,12826,22.18,71.924,98767,214.691,704.367,46
24,13376,22.18,71.924,98772,214.691,704.367,46
25,13925,22.18,71.924,98767,215.172,704.367,46
26,14475,22.19,71.942,98767,215.103,705.720,46
27,15024,22.19,71.942,98773,214.622,705.720,46
28,15575,22.19,71.924,98770,214.932,705.156,46
29,16123,22.18,71.924,98766,215.238,706.162,46
30,16673,22.19,71.942,98773,214.622,704.142,46
31,17222,22.18,71.924,98772,214.757,705.373,46
32,17745,22.18,71.924,98763,214.757,704.584,46
33,18267,22.18,71.924,98766,215.238,706.162,46
34,18788,22.18,71.924,98769,214.998,705.373,46
35,19309,22.18,71.942,98767,215.103,705.720,46
36,19829,22.18,71.924,98769,214.998,705.373,46
37,20350,22.17,71.906,98767,215.135,705.824,46
38,20872,22.18,71.924,98772,214.757,704.584,46
39,21393,22.17,71.906,98764,215.375,706.612,46
40,21913,22.17,71.906,98770,214.895,705.035,46
41,22439,22.17,71.906,98771,214.829,704.818,46
42,22964,22.17,71.906,98765,214.829,704.818,45
43,23485,22.17,71.906,98771,214.829,704.818,46
44,24005,22.17,71.906,98771,214.829,704.818,45
45,24526,22.19,71.942,98767,215.103,705.720,46
46,25048,22.17,71.924,98766,215.238,706.162,46
47,25569,22.17,71.924,98766,215.238,706.162,46
48,26089,22.17,71.906,98767,215.135,705.824,46
49,26610,22.17,71.906,98770,214.895,705.035,46
50,27131,22.17,71.906,98773,214.657,704.255,46
51,27653,22.17,71.906,98776,214.416,705.824,45
52,28173,22.15,71.870,98770,214.932,705.156,46
53,28697,22.15,71.870,98772,214.691,704.367,46
54,29218,22.14,71.834,98769,214.963,705.260,45
55,29740,22.13,71.834,98772,214.723,704.471,46
56,30260,22.13,71.834,98770,214.895,705.035,46
57,30781,22.12,71.816,98768,215.032,705.486,45
58,31302,22.13,71.834,98769,214.963,704.471,46
59,31823,22.13,71.834,98775,214.482,704.471,46
60,32344,22.13,71.834,98772,214.723,704.471,45
61,32865,22.13,71.834,98763,214.963,705.260,46
62,33386,22.12,71.816,98762,215.582,707.289,45
63,33907,22.12,71.816,98773,214.620,704.133,45
64,34430,22.12,71.816,98773,214.620,704.133,45
65,34952,22.14,71.852,98776,214.345,704.020,45
66,35473,22.12,71.816,98768,215.101,704.922,45
67,35994,22.12,71.816,98770,215.101,705.711,45
68,36514,22.12,71.816,98768,214.860,704.922,45
69,37036,22.11,71.798,98766,215.238,706.162,45
70,37557,22.11,71.798,98770,214.929,705.147,45
71,38077,22.11,71.780,98776,214.414,703.457,45
72,38598,22.10,71.780,98767,215.132,705.815,46
73,39119,22.11,71.798,98778,214.208,702.781,46
74,39644,22.11,71.798,98777,214.279,703.015,46
75,40164,22.11,71.798,98774,214.279,703.015,46
76,40685,22.11,71.798,98774,214.517,703.795,46
77,41206,22.11,71.798,98780,214.036,702.217,46
78,41726,22.11,71.798,98777,214.279,703.015,46
79,42248,22.10,71.798,98772,214.757,704.584,46
80,42768,22.11,71.798,98774,214.517,703.795,46
81,43289,22.11,71.798,98775,214.448,703.570,46
82,43810,22.10,71.780,98773,214.654,704.246,46
83,44331,22.10,71.780,98774,214.585,704.809,46
84,44852,22.11,71.798,98772,214.757,705.373,46
85,45376,22.12,71.816,98773,214.620,704.133,46
86,45896,22.11,71.798,98772,214.688,704.359,46
87,46417,22.11,71.798,98774,214.517,703.795,46
88,46939,22.11,71.798,98772,214.757,704.584,46
89,47459,22.11,71.798,98775,214.448,703.570,46
90,47980,22.11,71.798,98769,214.998,705.373,46
91,48501,22.12,71.816,98773,214.620,704.133,46
92,49021,22.11,71.798,98775,214.448,705.936,46
93,49543,22.11,71.798,98769,214.757,704.584,46
94,50064,22.11,71.798,98772,214.208,702.781,46
95,50584,22.11,71.816,98770,214.860,704.922,46
96,51108,22.12,71.816,98780,214.073,702.339,46
97,51630,22.12,71.816,98773,214.620,705.711,46
98,52150,22.13,71.834,98778,214.242,703.682,46
99,52671,22.12,71.816,98770,214.860,704.922,46
100,53192,22.11,71.798,98770,214.688,704.359,46
101,53713,22.13,71.834,98780,214.482,703.682,46
102,54235,22.13,71.834,98769,214.963,705.260,46
103,54755,22.12,71.816,98773,214.620,704.133,46
104,55276,22.13,71.834,98781,213.935,701.888,46
105,55797,22.12,71.816,98780,214.073,702.339,46
106,56321,22.12,71.816,98774,214.554,703.128,46
107,56842,22.13,71.834,98780,214.963,705.260,46
108,57362,22.12,71.816,98768,215.101,705.711,46
109,57883,22.12,71.816,98774,214.554,703.916,46
110,58404,22.14,71.852,98765,215.304,706.378,46
111,58926,22.13,71.834,98769,214.963,705.260,46
112,59446,22.14,71.852,98776,214.345,703.232,46
113,59967,22.13,71.834,98770,214.895,705.035,46
114,60488,22.14,71.852,98774,214.585,704.020,46
115,61008,22.13,71.834,98770,214.895,701.888,46
116,61530,22.13,71.834,98773,214.657,704.255,46
117,62054,22.15,71.852,98772,214.757,704.584,46
118,62574,22.14,71.852,98782,213.864,701.654,46
119,63095,22.15,71.870,98772,214.691,704.367,46
120,63617,22.15,71.870,98772,214.691,704.367,46
121,64138,22.14,71.852,98772,214.757,704.584,46
122,64659,22.14,71.852,98777,214.279,704.584,46
123,65180,22.14,71.852,98771,214.345,703.232,46
124,65701,22.14,71.852,98776,214.345,703.232,46
125,66222,22.15,71.870,98775,214.451,703.578,46
126,66743,22.15,71.870,98772,214.691,704.367,46
127,67267,22.14,71.852,98774,214.517,706.162,46
128,67788,22.15,71.870,98770,214.860,705.711,46
129,68310,22.15,71.870,98770,214.932,705.156,46
130,68831,22.15,71.870,98772,214.210,702.789,46
131,69352,22.15,71.870,98772,214.691,704.367,46
132,69872,22.16,71.870,98778,214.210,702.789,46
133,70393,22.16,71.870,98772,214.691,704.367,46
134,70915,22.16,71.888,98769,214.966,705.269,46
135,71436,22.17,71.906,98778,214.176,702.677,46
136,71956,22.17,71.906,98773,214.657,703.466,46
137,72477,22.17,71.906,98770,214.895,705.035,46
138,73001,22.17,71.906,98771,214.829,704.818,46
139,73523,22.17,71.906,98770,214.895,705.035,47
140,74043,22.17,71.906,98770,214.895,705.035,46
141,74564,22.18,71.924,98777,214.279,703.015,46
142,75085,22.18,71.924,98769,214.998,706.162,46
143,75607,22.17,71.906,98776,214.348,704.818,46
144,76128,22.17,71.906,98781,214.657,704.255,46
145,76649,22.18,71.924,98774,214.517,703.795,46
146,77169,22.18,71.924,98774,214.517,703.795,46
147,77690,22.18,71.942,98776,214.382,702.564,46
148,78215,22.18,71.924,98772,214.757,702.217,46
149,78736,22.18,71.924,98777,214.279,703.015,46
150,79257,22.18,71.924,98772,214.757,704.584,46
151,79778,22.18,71.924,98772,214.757,704.584,46
152,80300,22.17,71.906,98773,214.657,704.255,46
153,80821,22.17,71.906,98776,214.416,703.466,46
154,81341,22.17,71.906,98776,214.416,703.466,46
155,81862,22.17,71.906,98770,214.895,703.466,46
156,82383,22.17,71.906,98776,214.416,704.255,46
157,82905,22.15,71.870,98768,215.101,705.711,46
158,83429,22.17,71.906,98774,214.588,704.029,46
159,83950,22.17,71.906,98770,214.895,705.035,46
160,84470,22.17,71.906,98773,214.657,704.255,46
161,84992,22.17,71.906,98776,214.416,703.466,46
162,85513,22.16,71.888,98768,215.032,705.486,46
163,86034,22.16,71.888,98775,214.485,703.691,46
164,86554,22.16,71.888,98775,214.485,703.691,46
165,87075,22.16,71.888,98771,214.551,703.908,46
166,87597,22.16,71.888,98774,214.551,703.908,46
167,88118,22.16,71.870,98773,214.620,704.133,46
168,88638,22.15,71.870,98773,214.620,705.711,46
169,89163,22.15,71.870,98767,215.172,705.945,46
170,89683,22.15,71.870,98772,214.691,704.367,46
171,90205,22.15,71.870,98775,214.691,704.367,46
172,90726,22.15,71.870,98768,215.101,705.711,46
173,91247,22.16,71.888,98775,214.485,703.691,46
174,91767,22.14,71.870,98772,214.691,704.367,45
175,92289,22.14,71.852,98774,214.585,704.020,46
176,92810,22.14,71.852,98776,214.345,703.232,46
177,93330,22.12,71.816,98765,215.272,706.274,46
178,93851,22.13,71.834,98775,214.482,705.260,46
179,94375,22.13,71.834,98775,214.482,703.682,46
180,94897,22.13,71.834,98772,214.723,704.471,46
181,95418,22.13,71.834,98778,214.242,702.893,46
182,95938,22.13,71.834,98775,214.482,703.682,46
183,96459,22.14,71.852,98774,214.585,703.232,46
184,96980,22.12,71.816,98774,214.554,705.486,46
185,97502,22.13,71.834,98780,214.482,703.682,46
186,98023,22.12,71.816,98773,214.620,704.133,46
187,98544,22.11,71.798,98772,214.688,704.359,46
188,99064,22.12,71.816,98768,215.101,705.711,46
189,99586,22.10,71.798,98772,214.757,704.584,46
190,100110,22.11,71.798,98766,215.238,704.584,46
191,100631,22.10,71.780,98771,215.066,705.598,46
192,101152,22.11,71.798,98772,214.757,704.584,46
193,101673,22.11,71.798,98769,214.998,705.373,46
194,102195,22.11,71.780,98771,214.826,704.809,46
195,102715,22.11,71.798,98772,214.757,704.584,46
196,103236,22.10,71.780,98773,214.654,704.246,46
197,103757,22.10,71.780,98776,214.414,703.457,46
198,104279,22.09,71.762,98771,214.789,707.843,46
199,104800,22.09,71.762,98768,214.789,704.688,46
200,105324,22.10,71.780,98776,214.414,703.457,46
201,105845,22.08,71.744,98768,215.101,705.711,46
202,106366,22.09,71.762,98768,215.032,705.486,46
203,106887,22.08,71.744,98775,214.448,704.359,46
204,107408,22.08,71.744,98776,215.101,705.711,46
205,107929,22.08,71.744,98767,214.688,704.359,45
206,108450,22.08,71.744,98770,214.929,705.147,46
207,108972,22.08,71.744,98778,214.208,702.781,45
208,109493,22.06,71.744,98775,214.448,703.570,46
209,110013,22.06,71.708,98769,214.961,705.251,46
210,110537,22.06,71.708,98770,214.414,703.457,45
211,111058,22.06,71.708,98769,214.961,705.251,46
212,111580,22.05,71.690,98770,214.858,704.913,46
213,112101,22.04,71.672,98777,214.276,703.006,46
214,112622,22.05,71.690,98773,214.617,704.125,46
215,113143,22.04,71.672,98774,214.517,703.795,46
216,113665,22.03,71.654,98771,214.823,706.378,46
217,114185,22.05,71.690,98773,214.617,704.125,46
218,114706,22.04,71.672,98769,214.755,704.575,46
